width,heigth,processes,nodes,total_time
100,100,24,2,12.759000
100,100,48,2,8.839000
100,100,96,2,9.955000
100,100,192,2,70.642000
100,100,24,4,12.710000
100,100,48,4,9.459000
100,100,96,4,10.550000
100,100,192,4,50.659000
100,100,24,6,15.504000
100,100,48,6,12.071000
100,100,96,6,11.103000
100,100,192,6,45.846000
100,100,24,8,63.455000
100,100,48,8,15.202000
100,100,96,8,15.472000
100,100,192,8,44.665000
500,500,24,2,82.825000
500,500,48,2,63.255000
500,500,96,2,56.701000
500,500,192,2,382.433000
500,500,24,4,80.359000
500,500,48,4,65.790000
500,500,96,4,55.096000
500,500,192,4,387.496000
500,500,24,6,84.101000
500,500,48,6,62.530000
500,500,96,6,51.194000
500,500,192,6,213.535000
500,500,24,8,85.522000
500,500,48,8,69.277000
500,500,96,8,59.575000
500,500,192,8,219.815000
1000,1000,24,2,215.117000
1000,1000,48,2,233.176000
1000,1000,96,2,186.472000
1000,1000,192,2,304.783000
1000,1000,24,4,218.939000
1000,1000,48,4,225.634000
1000,1000,96,4,182.903000
1000,1000,192,4,172.531000
1000,1000,24,6,229.350000
1000,1000,48,6,221.305000
1000,1000,96,6,182.927000
1000,1000,192,6,164.313000
1000,1000,24,8,255.687000
1000,1000,48,8,230.118000
1000,1000,96,8,189.203000
1000,1000,192,8,171.913000
5000,5000,24,2,3931.315000
5000,5000,48,2,2049.137000
5000,5000,96,2,1790.259000
5000,5000,192,2,1330.124000
5000,5000,24,4,4451.888000
5000,5000,48,4,2048.873000
5000,5000,96,4,1101.639000
5000,5000,192,4,893.124000
5000,5000,24,6,4566.919000
5000,5000,48,6,3140.473000
5000,5000,96,6,2739.747000
5000,5000,192,6,630.264000
5000,5000,24,8,4470.165000
5000,5000,48,8,2104.229000
5000,5000,96,8,1129.971000
5000,5000,192,8,3967.426000
