width,heigth,threads,total_time
100,100,5,47.014000
100,100,10,43.881000
100,100,20,46.406000
100,100,30,50.434000
100,100,50,57.204000
100,100,100,82.776000
100,100,150,98.470000
100,100,200,110.469000
500,500,5,385.766000
500,500,10,204.246000
500,500,20,129.249000
500,500,30,106.333000
500,500,50,93.914000
500,500,100,107.656000
500,500,150,144.345000
500,500,200,167.375000
1000,1000,5,1398.683000
1000,1000,10,696.841000
1000,1000,20,364.063000
1000,1000,30,266.878000
1000,1000,50,180.564000
1000,1000,100,281.849000
1000,1000,150,231.866000
1000,1000,200,237.303000
5000,5000,5,37570.794000
5000,5000,10,18534.144000
5000,5000,20,8238.378000
5000,5000,30,5537.359000
5000,5000,50,3353.113000
5000,5000,100,3271.383000
5000,5000,150,3236.943000
5000,5000,200,2857.088000
